,Topic 0 words,Topic 0 weights,Topic 1 words,Topic 1 weights,Topic 2 words,Topic 2 weights,Topic 3 words,Topic 3 weights,Topic 4 words,Topic 4 weights,Topic 5 words,Topic 5 weights,Topic 6 words,Topic 6 weights,Topic 7 words,Topic 7 weights,Topic 8 words,Topic 8 weights,Topic 9 words,Topic 9 weights,Topic 10 words,Topic 10 weights,Topic 11 words,Topic 11 weights,Topic 12 words,Topic 12 weights,Topic 13 words,Topic 13 weights,Topic 14 words,Topic 14 weights
0,fashion,76.1,cop,202.4,this,308.8,accountabl,722.1,that,713.3,pour,639.4,rangutan,133.1,min,366.1,world,502.2,voor,139.1,palmoil,156.3,para,231.1,green,350.1,fund,306.1,fossil,312.9
1,brand,59.8,public,199.9,mor,281.4,sign,675.8,this,624.7,vous,462.1,rbirut,130.1,iota,350.9,what,360.8,niet,121.8,sustainabl,140.2,como,113.1,school,195.3,stop,281.5,fuel,277.6
2,encor,59.2,fact,115.1,with,219.5,climateaction,640.1,your,474.4,dan,307.1,reenpeac,129.6,fees,280.1,pow,321.0,climat,104.5,palm,114.0,hac,92.1,trying,155.8,investment,241.5,climat,232.7
3,door,57.1,true,115.1,from,200.2,giant,619.1,about,439.8,plus,283.0,uardian,114.1,greedy,262.1,possibl,289.3,greenpainting,101.1,destruction,87.3,sobr,83.1,ineos,127.1,taxonomy,203.9,coal,171.8
4,npparibas,52.1,énergi,104.1,climat,186.3,hold,593.1,they,429.2,avec,254.8,hunhuam,108.1,footprint,257.8,leav,272.1,hell,99.9,this,80.0,berdrola,83.1,industri,120.8,stopfakegre,203.2,your,157.8
5,rest,51.9,reality,97.1,that,169.8,climateemergency,589.0,with,362.6,mais,194.1,bcnews,107.1,validator,257.1,footprint,266.3,shell,95.3,rspo,76.1,verd,70.1,immermanseu,120.1,sustainabl,202.1,energy,157.1
6,fac,50.3,fossil,93.9,plastic,148.7,holefood,586.1,their,352.6,fait,177.1,ussellmoxham,97.1,possibl,238.8,low,259.9,deal,91.1,for,74.7,social,70.0,u_commission,116.3,aseickhout,198.7,with,155.1
7,fossil,45.2,stoph,92.1,business,145.5,shar,586.1,from,309.4,paris,162.9,ongabay,95.1,leav,238.0,descendant,255.9,over,91.0,from,70.2,empresas,66.1,mil,111.2,aschald,177.1,renewabl,149.3
8,fast,44.6,truth,90.2,need,137.7,plasticpollution,582.1,hav,302.6,nous,153.2,milyl,94.1,low,232.2,should,223.1,greenmakeup,90.1,stop,69.0,sostenibilidad,66.1,stopp,111.1,mehr,125.1,climatechang,130.7
9,énergi,41.1,cess,89.1,action,133.9,traderjo,562.1,what,262.5,fair,148.1,oolrunning,91.1,defi,185.1,build,211.2,maar,67.8,deforestation,64.9,est,61.1,taxonomy,107.2,natur,124.6,carbon,122.6
